"AITARENA"	"AMARENA"	"SEXUA"	"JAIOTERRIA"	"ALTUERA"	"PISUA"
"52"	171	160	"gizonezkoa"	1	167	69
"53"	181	162	"gizonezkoa"	3	173	81
"54"	174	158	"gizonezkoa"	2	168	76
"55"	185	166	"emakumezkoa"	2	175	105
"56"	176	161	"gizonezkoa"	3	170	81
"57"	170	158	"gizonezkoa"	2	165	65
"58"	166	161	"gizonezkoa"	2	164	68
"59"	169	158	"gizonezkoa"	2	165	75
"60"	167	162	"emakumezkoa"	2	163	51
"61"	169	166	"gizonezkoa"	3	168	86
"62"	175	157	"gizonezkoa"	3	168	87
"63"	165	165	"gizonezkoa"	1	165	75
"64"	174	166	"gizonezkoa"	2	171	117
"65"	172	165	"emakumezkoa"	1	167	79
"66"	169	158	"gizonezkoa"	3	165	75
"67"	174	164	"emakumezkoa"	1	168	86
"68"	166	160	"emakumezkoa"	3	162	44
"69"	165	160	"emakumezkoa"	1	161	37
"70"	174	161	"gizonezkoa"	2	169	103
"71"	172	162	"emakumezkoa"	1	166	72
"72"	173	159	"gizonezkoa"	3	167	89
"73"	165	159	"gizonezkoa"	3	163	61
"74"	176	157	"gizonezkoa"	2	168	96
"75"	170	154	"emakumezkoa"	2	162	44
"76"	168	163	"emakumezkoa"	2	164	58
"77"	179	161	"emakumezkoa"	2	170	100
"78"	173	162	"emakumezkoa"	1	167	69
"79"	167	168	"gizonezkoa"	2	167	78
"80"	178	158	"gizonezkoa"	1	170	91
"81"	181	163	"emakumezkoa"	2	172	103
"82"	167	162	"emakumezkoa"	2	163	51
"83"	175	166	"gizonezkoa"	2	171	117
"84"	168	157	"gizonezkoa"	2	164	68
"85"	171	165	"gizonezkoa"	3	169	103
"86"	164	158	"gizonezkoa"	1	162	54
"87"	163	161	"emakumezkoa"	2	160	30
"88"	169	166	"gizonezkoa"	1	168	96
"89"	174	163	"emakumezkoa"	3	168	86
"90"	174	169	"gizonezkoa"	3	172	124
"91"	174	159	"gizonezkoa"	2	168	86
"92"	174	165	"emakumezkoa"	2	168	76
"93"	169	162	"gizonezkoa"	1	166	72
"94"	174	157	"emakumezkoa"	3	165	65
"95"	177	155	"emakumezkoa"	2	167	79
"96"	174	154	"gizonezkoa"	3	175	80
"97"	175	156	"gizonezkoa"	3	167	75
"98"	170	161	"emakumezkoa"	2	170	76
"99"	173	171	"gizonezkoa"	3	172	84
"100"	174	163	"gizonezkoa"	2	170	101
"101"	182	162	"emakumezkoa"	1	172	84
"102"	177	160	"gizonezkoa"	2	170	84
"103"	175	161	"emakumezkoa"	3	167	69
"104"	180	162	"emakumezkoa"	1	167	68
"105"	173	160	"emakumezkoa"	2	166	67
"106"	174	163	"emakumezkoa"	3	168	86
"107"	162	161	"emakumezkoa"	1	160	30
"108"	172	154	"gizonezkoa"	1	168	73
"109"	169	160	"gizonezkoa"	1	165	75
"110"	173	155	"emakumezkoa"	2	164	58
"111"	164	160	"emakumezkoa"	2	160	30
"112"	177	159	"emakumezkoa"	3	168	86
"113"	167	166	"emakumezkoa"	3	165	65
"114"	174	161	"gizonezkoa"	2	169	75
"115"	172	156	"gizonezkoa"	2	166	82
"116"	174	160	"emakumezkoa"	1	166	72
"117"	185	153	"emakumezkoa"	2	170	80
"118"	169	157	"gizonezkoa"	2	164	68
"119"	169	161	"emakumezkoa"	2	164	58
"120"	174	161	"emakumezkoa"	2	167	79
"121"	177	161	"gizonezkoa"	2	171	81
"122"	172	170	"gizonezkoa"	2	171	77
"123"	180	159	"gizonezkoa"	3	172	104
"124"	163	163	"emakumezkoa"	3	161	37
"125"	172	156	"emakumezkoa"	2	164	58
"126"	166	167	"gizonezkoa"	2	166	82
"127"	175	164	"gizonezkoa"	3	171	97
"128"	173	157	"emakumezkoa"	3	165	65
"129"	176	158	"gizonezkoa"	3	169	103
"130"	172	160	"emakumezkoa"	1	165	65
"131"	172	157	"gizonezkoa"	2	166	82
"132"	183	162	"emakumezkoa"	1	173	100
"133"	173	165	"gizonezkoa"	3	170	77
"134"	168	161	"gizonezkoa"	2	165	75
"135"	167	155	"emakumezkoa"	3	160	30
"136"	178	155	"gizonezkoa"	2	169	73
"137"	175	162	"gizonezkoa"	1	170	80
"138"	171	170	"emakumezkoa"	2	169	93
"139"	169	163	"emakumezkoa"	1	165	65
"140"	165	155	"gizonezkoa"	3	161	47
"141"	183	161	"gizonezkoa"	1	174	78
"142"	174	159	"gizonezkoa"	2	168	66
"143"	177	161	"gizonezkoa"	3	171	87
"144"	180	160	"emakumezkoa"	1	170	80
"145"	168	163	"gizonezkoa"	3	166	77
"146"	168	164	"emakumezkoa"	3	164	58
"147"	171	160	"gizonezkoa"	1	167	69
"148"	170	162	"emakumezkoa"	3	165	65
"149"	157	162	"gizonezkoa"	3	159	33
"150"	163	162	"gizonezkoa"	2	163	61
"151"	166	165	"emakumezkoa"	2	164	58
"152"	166	163	"emakumezkoa"	2	163	51
"153"	169	166	"gizonezkoa"	2	168	69
"154"	175	158	"gizonezkoa"	1	168	67
"155"	172	157	"emakumezkoa"	2	164	58
"156"	170	161	"gizonezkoa"	3	166	82
"157"	177	158	"emakumezkoa"	2	167	79
"158"	175	155	"gizonezkoa"	2	167	79
"159"	174	158	"gizonezkoa"	2	168	68
"160"	173	166	"emakumezkoa"	3	168	86
"161"	176	157	"emakumezkoa"	2	166	72
"162"	162	161	"gizonezkoa"	2	162	54
"163"	174	158	"gizonezkoa"	2	168	66
"164"	169	161	"emakumezkoa"	3	164	58
"165"	174	156	"emakumezkoa"	1	165	65
"166"	165	170	"emakumezkoa"	2	165	65
"167"	169	164	"gizonezkoa"	3	167	79
"168"	166	157	"emakumezkoa"	3	160	30
"169"	173	159	"emakumezkoa"	2	165	65
"170"	176	158	"gizonezkoa"	1	169	82
"171"	180	161	"gizonezkoa"	3	172	84
